id,What is your gender?,How old are you?,How would you describe your VISUAL imagery vividness on a scale from 0-10?,How long did you view the Ganzflicker?,Did you view the Ganzflicker with the lights in the room turned off?,Did you view the Ganzflicker on a computer or mobile phone?,How did you find the experience emotionally?,"Did you see anything in the Ganzflicker? If not, confirm by answering ""no"" and then skip to the next section.",Please describe as much as you can remember about what you saw in the Ganzflicker:,About how long did it take before images started to emerge?,About how frequently did you experience images?,"If you saw images, how intense were they?","If you saw images, how long did a single image last?",How did your normal state of consciousness change during the experience?,"If you felt a change in your state of consciousness, please describe how you felt in more detail:","If you saw images, where did they tend to appear on the screen?",screen_the_of_to,red_colors_blue_black,shapes_geometric_patterns_and,flashing_light_flashes_of,it_was_felt_me,lines_patterns_and_vertical,my_eyes_closed_vision,face_faces_saw_and,spinning_spirals_rotating_clockwise,stars_galaxies_galaxy_star,tunnel_through_going_train,dots_spots_some_dark,minutes_for_this_seconds,fractals_fractal_kaleidoscope_patterns,images_were_these_no,noise_white_the_music,forest_trees_tree_the,water_clouds_ocean_surface,space_through_flying_like,spider_web_spiderwebs_webs,eye_an_one_eyes,city_buildings_building_cityscape,nothing_much_not_else,hallway_door_corridor_room,fire_fireworks_flames_explosions,flowers_flower_blooming_lotus,butterfly_wings_butterflies_shadows,trippy_good_hhh_lol,vividness_bin
4,Female,42,0,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black"," different vague patterns, pulsing, the image shifted between mostly yellow to mostly black",1-2 minutes,"I saw patterns consistently, but no images",,,Became relaxed or sleepy,I felt sleepy and vaguely nauseous,,0.043148828,0.042952512,0.055135327,0.076645243,0.015336179,0.03892413,0.04121672,0.016804059,0.034868243,0.017147988,0.014998316,0.02779988,0.015603216,2.51E-36,0.019276393,0.01475887,0.016025935,0.018096039,0.0167809,2.53E-45,0.018791754,0.01631454,0.014220136,0.015868452,0.022102054,0.018890678,0.016977825,0.012938285,0-3
16,Male,56,0,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","
mostly a honeycomb of red and black - very blurred and moving, slowly shifting.
sometimes it went to mostly red in one area and that could slide around",They began to emerge immediately,Constantly,"Weak, faint, or insubstantial","Constant, morphing from one image to the next",Became relaxed or sleepy,drowsy - but it was evening after previous night with not much sleep,All over the screen,0.152415019,0.007500845,0.014624614,0.235239758,0.051094579,0.008826541,0.12903135,0.054424764,0.007849724,0.003624078,0.002991202,0.005970028,0.051697886,0.008130217,0.060755976,0.049512734,0.003109221,0.003408702,0.003251775,0.004225077,0.060284936,0.003281136,0.047801178,0.00313024,0.004070974,0.003908985,0.055085113,0.044030186,0-3
26,Male,50,0,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","1) A pattern of hexagons that were touching each other but not overlapping.
2) Thick horizontal and vertical lines with fuzzy edges that intersected at the center of my field of view.  It would move if I looked at different parts of my 42"" monitor.",A few seconds,Frequently,"Weak, faint, or insubstantial",Persisting several seconds,"No change, fully alert in the here and now",,All over the screen,0.953854805,0.030557548,0.609575512,0.05542506,0.011428284,0.195796085,0.028609226,0.013649459,0.033461962,0.014622289,0.012237616,0.035586156,0.011891241,0.007902436,0.014736978,0.010722156,0.012491237,0.014034293,0.013471553,0.002279991,0.014463404,0.013220517,0.011020451,0.01281622,0.016680852,0.005995987,0.014745396,0.010076158,0-3
32,Female,31,0,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","I saw red, black and white. I saw a bunch of shapes like squares, circles, lines. The images were flickering very quickly so it's hard for me to recall exactly what they were. They would flicker for not even a second and then they would change. I saw several shapes on the screen during each quick flicker. Every flicker had different shapes/lines/grids, etc. ",1-2 minutes,Frequently,"Clear, but not vivid","Brief moment or flash, Persisting several seconds","No change, fully alert in the here and now, Lost a sense of time","I felt fairly normal. However, the 10 minutes did fly by so I'd say I lost a sense of time. I felt like it had only been 2 minutes when the 10 minutes were up.",All over the screen,0.999368333,0.870768187,0.38993587,0.050357822,0.017278093,0.142021579,0.047581586,0.017776058,0.019372792,0.008614216,0.007215836,0.006105394,0.017435518,0.011116388,0.010998155,0.016832668,0.007551822,0.008364275,0.00794158,0.002829235,0.020410905,0.008388541,0.015560345,0.007682591,0.009411485,0.005878401,0.016942477,0.01412951,0-3
33,Male,46,0,Longer than 10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","The flickering screen red and black and after a short time.. 30 sec to a min maybe? Hard to say... I noticed faint variations in the shades of red and black. Not really other colors but more like hues or red and black at different constantly changing / flashing spots on the screen that gave the impression of seeing faint shapes or balls of a brighter hue than the background, random patterns.",1-2 minutes,Constantly,"Weak, faint, or insubstantial",Brief moment or flash,"No change, fully alert in the here and now",,All over the screen,0.999618353,0.871334562,0.074421755,0.06474798,0.048680077,0.046333881,0.060790306,0.032784318,0.048834239,0.023604225,0.024775644,0.021602868,0.047461329,3.53E-06,0.036003159,0.030207122,0.024986153,0.025455918,0.025794457,1.18E-06,0.031389651,0.027054197,0.066980554,0.028121406,0.027469846,2.37E-06,0.023445147,0.04095695,0-3
35,Female,28,0,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Like when looking at an optical illusion image and seeing black dots between white lines on a grid; I know that I was just seeing fleeting artefacts in my peripheral vision.","It reminded me of looking at an optical illusion image (the grid illusion) where you can see fleeting black circles in the corners of the grid even though there are none. My peripheral vision was activating and showing me spinning red circles, or a red circle in the very center, but only during the flash and they would instantly change or disappear. If I looked up or down slightly, I could see bars of red on the top or bottom of the screen, same for left and right, and I would see no circles or illusion in the center. If I looked in the center of the screen, I would see a bright red circle, surrounded by flashing black/red circles moving around it in a circular fashion (all around the center point). These images would not persist and I could not focus on them. If I tried to focus on any of the illusionary circles, they would disappear. Often, the screen would once again seem to simply show red and black flickers across the entire screen. I did not see any recognizable complex images such as buildings, scenery, faces, animals, movie scenes, or anything else. I do not believe that I was experiencing imagination, just optical illusions. It was not an enjoyable experience, but I felt no overwhelming discomfort, else I would have stopped the experiment. I do not see anything differently now that I have completed the experiment.",1-2 minutes,Frequently,"Weak, faint, or insubstantial",Brief moment or flash,"No change, fully alert in the here and now",,In the center,0.999999957,0.035445118,0.081962525,0.116347425,0.999999998,0.058236049,0.526255339,0.059355769,0.0538615,0.026642902,0.024459086,0.036231019,0.18911593,0.010621909,0.06297643,0.066086067,0.031986106,0.029671028,0.027094728,2.14E-06,0.064435782,0.053836974,0.065317055,0.028128088,0.032976674,0.019862187,0.043100699,0.053218674,0-3
44,,,0,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","Just lots of different colors and geometric shapes/patterns. Like a kaleidoscope, but much more faint and ever changing. Mostly just different colors bouncing all around the screen in different shapes ",1-2 minutes,Frequently,"Weak, faint, or insubstantial","briefly. If I didn't concentrate on it, it would ride out. If I tried to analyze it, it would disappear","Became relaxed or sleepy, As if in a dreamlike state","Just very sleepy. I wanted to close my eyes and take a nap. I did get a bit nauseated as well, but I didn't want to look away. It was so relaxing","In the periphery, All over the screen",0.996114258,0.035299863,0.096577469,0.054118164,0.014016537,0.047466376,0.032252593,0.019460432,0.038645749,0.017816694,0.01516379,0.023456273,0.014481267,0.999999995,0.01962045,0.012934025,0.016395557,0.017620022,0.016414497,2.54E-05,0.018269884,0.018076423,0.014076715,0.016024736,0.019691052,0.023271455,0.022744107,0.012954535,0-3
55,Female,36,0,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), maybe a shape of a simple animal (alligator, butterfly)","clusters of bright small dots (anywhere from 3-10 at a time) Dark lines sometimes that would change sizes, widen and lengthen, a line that changed into a book that changed into a butterfly - it wasn't very vivid at all, but I could tell what it was, an alligator that had an open mouth that would move to the right appeared quite a lot after the 6 minute mark","1-2 minutes, 5-7 minutes, The dots were 1 - 2 minutes, the outlines were 5-7",Frequently,"Weak, faint, or insubstantial, The dots of light were pretty bright when I could see them though",Persisting several seconds,"No change, fully alert in the here and now",,"mainly on the right side, but I could move them around.",0.036960331,0.038001066,0.070122419,0.063991268,0.014033005,0.045346324,0.035696504,0.017757058,0.039961109,0.018956195,0.015190443,0.032989454,0.014286321,1.15E-187,0.019099421,0.013099127,0.016243254,0.01874996,0.017229888,1.12E-196,0.018822537,0.017276525,0.013349124,0.01614107,0.023713342,0.022202246,0.019957065,0.012129005,0-3
71,Male,53,0,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)",3 times grid bigger blocks than computer keyboard,I fell asleep several times. images apperared ca 3-4 times after I awakened and lasted ca 2-3 sec,Infrequently,"Clear, but not vivid",1-2 seconds,Became relaxed or sleepy,,All over the screen,0,0,0.999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-3
72,Male,41,0,10min.,Yes,Computer,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)",3D square tunnel-like thing on and off. Sort of a pulsating sensation to the field overall,1-2 minutes,Infrequently,"Weak, faint, or insubstantial",Persisting several seconds,As if in a dreamlike state,,In the center,0.040157119,0.027897279,0.046413322,0.046446126,0.026277764,0.031859144,0.050624509,0.021454419,0.033983028,0.017205118,0.999999998,0.015185054,0.023299838,3.61E-31,0.022132751,0.021177228,0.01823018,0.020790723,0.023359543,3.63E-40,0.022215507,0.019996283,0.019100959,0.024519065,0.017677245,0.01715293,0.01623319,0.016220678,0-3
